y,month_num,season,race_grp,male_bin,age_num,age_z,crime_grp,borough,precinct,precinct_idx,frisked_bin,searched_bin,weapon_found_bin,firearm_bin,violent_bg_bin,known_weapon_bin,self_init
0,1,Winter,Black,0,27.0,-0.07778627,Weapon,Brooklyn,77,49,1,1,0,0,1,0,0
0,1,Winter,Black,1,15.0,-1.1126891,Other,Queens,114,72,1,0,0,0,0,1,1
0,1,Winter,Black,1,15.0,-1.1126891,Other,Queens,114,72,1,0,0,0,0,0,1
0,1,Winter,Black,1,21.0,-0.5952377,Weapon,Staten Island,120,75,1,0,0,0,0,0,1
1,1,Winter,Black,1,18.0,-0.8539634,Other,Bronx,40,23,1,0,0,0,0,0,0
1,1,Winter,Black,1,18.0,-0.8539634,Other,Bronx,40,23,1,1,0,0,1,0,0
0,1,Winter,Black,1,24.0,-0.33651197,Weapon,Bronx,42,25,1,1,1,0,0,0,1
1,1,Winter,White Hispanic,1,19.0,-0.7677215,Weapon,Bronx,43,26,1,0,1,1,0,0,1
0,1,Winter,White Hispanic,1,21.0,-0.5952377,Weapon,Bronx,47,30,1,0,0,0,0,0,1
0,1,Winter,Black,1,27.0,-0.07778627,Weapon,Bronx,47,30,1,0,0,0,0,0,1
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Bronx,47,30,1,1,1,0,1,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,47,30,1,1,0,0,0,0,1
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Brooklyn,73,46,1,0,0,0,0,0,1
0,1,Winter,Black,1,30.0,0.18093944,Property/Theft,Brooklyn,75,47,1,0,0,0,1,0,1
0,1,Winter,Black,1,40.0,1.0433584,Weapon,Queens,113,71,1,0,0,0,0,0,1
1,1,Winter,White,1,49.0,1.8195356,Violence,Staten Island,122,77,1,1,0,0,1,0,0
0,1,Winter,Other,1,42.0,1.2158422,Property/Theft,Staten Island,123,78,0,0,0,0,0,0,1
0,1,Winter,Other,1,21.0,-0.5952377,Property/Theft,Staten Island,123,78,0,0,0,0,0,0,1
1,1,Winter,White Hispanic,1,21.0,-0.5952377,Property/Theft,Brooklyn,72,45,0,1,0,0,0,0,0
1,1,Winter,Black,1,27.0,-0.07778627,Weapon,Queens,115,73,1,1,0,0,0,1,1
1,1,Winter,White Hispanic,1,35.0,0.61214894,Other,Brooklyn,79,51,0,0,0,0,0,0,0
1,1,Winter,Black,1,33.0,0.43966514,Violence,Queens,105,63,1,1,0,0,1,0,0
1,1,Winter,Black,1,22.0,-0.5089958,Property/Theft,Staten Island,121,76,0,1,0,0,0,0,0
0,1,Winter,Black Hispanic,1,18.0,-0.8539634,Property/Theft,Bronx,44,27,1,1,0,0,1,0,0
1,1,Winter,Black,1,23.0,-0.42275387,Trespass,Brooklyn,81,52,0,1,1,0,0,0,1
0,1,Winter,White,1,70.0,3.6306155,Violence,Manhattan,20,12,0,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,34.0,0.52590704,Property/Theft,Brooklyn,66,39,0,0,0,0,0,0,0
0,1,Winter,Other,1,45.0,1.474568,Weapon,Manhattan,14,8,1,0,0,0,0,1,0
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Bronx,40,23,1,0,0,0,1,1,1
